cod_ine,proyeccion_duracion_max_ola_calor_dias,proyeccion_grados_dia_refrigeracion,proyeccion_racha_seca_max_dias,tendencia_asequibilidad,n_anios_asequibilidad,inicio_asequibilidad,fin_asequibilidad,tendencia_turismo,n_anios_turismo,inicio_turismo,fin_turismo,tendencia_especulacion,n_anios_especulacion,inicio_especulacion,fin_especulacion,tendencia_gentrificacion,n_anios_gentrificacion,inicio_gentrificacion,fin_gentrificacion,anio_base,horizonte_climatico,escenario_climatico,tipo_valor_climatico
06153,19.836333656311034,227.8490249633789,23.025000076293946,-0.8743169398907114,4,2020,2023,6.079234972677597,4,2020,2023,,2,2022,2023,,1,2023,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07011,29.52380941935948,143.25371649605887,17.639524378095352,0.012033484478548573,9,2015,2023,-1.284153005464482,4,2020,2023,,2,2022,2023,-1.0600706713780923,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07015,31.208749961853027,183.17975368499756,21.762083339691163,0.692167577413481,9,2015,2023,-0.3005464480874238,4,2020,2023,,2,2022,2023,6.478954893550345,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07026,36.88066635131836,169.87855621337889,21.86633327484131,0.19609449177255073,9,2015,2023,-1.6393442622950851,4,2020,2023,,2,2022,2023,-7.054311847542941,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07027,31.131666564941405,195.55993461608887,19.342500019073487,1.8255250090818609,9,2015,2023,-1.9945355191256837,4,2020,2023,,2,2022,2023,-3.239104829210838,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07031,32.238461487109845,186.21515966562123,19.07000034038837,1.2909806964950126,9,2015,2023,-0.7103825136612063,4,2020,2023,,2,2022,2023,-4.759427198387787,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07032,30.537500047683714,149.58593101501464,20.720833110809327,2.249397000841796,9,2015,2023,-2.0218579234972744,4,2020,2023,,2,2022,2023,4.609650624987819,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07033,29.15106059854681,163.03896921331233,18.533181519941852,0.4229574634178761,9,2015,2023,-0.8196721311475414,4,2020,2023,,2,2022,2023,-3.7467943095339535,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07036,31.972777875264484,189.32137222290038,17.432222239176433,0.98360655737705,9,2015,2023,-1.816939890710382,4,2020,2023,,2,2022,2023,-3.459671064338181,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
07040,32.43083324432373,177.31806893348693,16.90729191303253,1.7172565602734244,9,2015,2023,-2.4043715846994544,4,2020,2023,,2,2022,2023,-6.093471411302633,6,2018,2023,2023,2041-2060,SSP2-4.5,ANOMALY
