cod_ine,anio,poblacion,fuente
03059,1999,24408,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2000,24690,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2001,25101,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2002,25654,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2003,26260,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2004,26632,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2005,27323,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2006,27815,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2007,28172,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2008,28432,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2009,28609,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2010,28738,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2011,28362,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2012,28439,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2013,28382,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2014,28328,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2015,28465,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2016,28691,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2017,28836,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2018,28957,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2019,28952,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2020,29536,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2021,29717,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2022,29881,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2023,30191,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2024,30585,"INE, Padrón municipal, tablas provinciales 2854–2909"
03059,2025,30921,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,1996,27469,"INE, Padrón municipal, tablas provinciales 2854–2909"
03063,1998,28629,"INE, Padrón municipal, tablas provinciales 2854–2909"
