cod_ine,anio,indice_gini,ratio_p80_p20
11032,2015,35.7,3.2
11032,2016,34.9,2.9
11032,2017,33.7,2.5
11032,2018,32.9,2.8
11032,2019,31.7,2.6
11032,2020,31.6,2.6
11032,2021,31.0,2.4
11032,2022,30.8,2.6
11032,2023,29.6,2.4
11033,2015,38.1,3.7
11033,2016,38.0,3.2
11033,2017,36.7,3.4
11033,2018,35.9,3.2
11033,2019,35.3,3.1
11033,2020,36.3,3.1
11033,2021,36.4,3.0
11033,2022,36.4,3.0
11033,2023,35.7,2.9
12009,2015,33.1,2.8
12009,2016,32.3,2.8
12009,2017,31.0,2.7
12009,2018,30.0,2.6
12009,2019,29.2,2.5
12009,2020,28.9,2.5
12009,2021,28.5,2.4
12009,2022,28.1,2.5
12009,2023,28.6,2.4
12027,2015,34.8,2.9
12027,2016,34.1,3.0
12027,2017,33.0,2.8
12027,2018,32.3,2.9
12027,2019,31.7,2.7
12027,2020,32.2,2.7
12027,2021,31.5,2.8
12027,2022,31.8,2.7
12027,2023,31.8,2.8
12032,2015,33.8,3.0
12032,2016,33.1,2.8
12032,2017,32.1,2.7
12032,2018,31.6,2.5
12032,2019,31.1,2.6
12032,2020,30.8,2.7
12032,2021,30.6,2.6
12032,2022,30.4,2.5
12032,2023,30.6,2.6
12040,2015,35.8,3.2
12040,2016,35.0,2.9
12040,2017,33.5,2.8
12040,2018,32.9,2.6
12040,2019,32.4,2.8
12040,2020,32.0,2.8
12040,2021,31.1,2.7
12040,2022,31.2,2.6
12040,2023,31.3,2.7
12084,2015,31.8,2.6
12084,2016,31.0,2.6
12084,2017,29.5,2.5
12084,2018,28.6,2.4
12084,2019,28.2,2.3
12084,2020,27.6,2.4
12084,2021,27.0,2.4
12084,2022,27.4,2.3
12084,2023,27.9,2.4
12126,2015,31.7,2.6
12126,2016,31.5,2.6
12126,2017,29.7,2.6
12126,2018,28.9,2.4
12126,2019,27.8,2.3
12126,2020,27.6,2.2
12126,2021,27.1,2.4
12126,2022,27.4,2.3
12126,2023,27.3,2.3
12135,2015,32.3,2.8
12135,2016,31.6,2.7
12135,2017,30.3,2.6
12135,2018,29.6,2.5
12135,2019,29.2,2.4
12135,2020,29.1,2.4
12135,2021,28.5,2.4
12135,2022,28.4,2.3
12135,2023,28.3,2.5
12138,2015,34.6,2.9
12138,2016,33.6,3.0
12138,2017,32.5,2.8
12138,2018,31.7,2.7
12138,2019,31.2,2.5
12138,2020,31.3,2.5
12138,2021,30.7,2.5
12138,2022,30.2,2.6
12138,2023,30.1,2.6
13005,2015,32.9,2.9
13005,2016,33.3,2.9
13005,2017,31.5,2.8
13005,2018,31.0,2.7
13005,2019,30.5,2.6
13005,2020,31.0,2.6
13005,2021,30.0,2.5
13005,2022,29.7,2.5
13005,2023,29.7,2.6
13034,2015,33.9,3.3
13034,2016,33.7,3.0
13034,2017,33.1,3.1
13034,2018,32.7,2.9
13034,2019,32.1,2.8
13034,2020,32.3,2.9
13034,2021,31.5,2.7
13034,2022,31.1,2.7
13034,2023,30.8,2.7
13071,2015,35.6,3.3
13071,2016,35.7,3.0
13071,2017,34.4,3.1
13071,2018,33.8,2.9
13071,2019,32.7,2.8
13071,2020,32.9,2.8
13071,2021,32.1,2.8
13071,2022,32.0,2.8
13071,2023,31.5,2.7
13082,2015,33.0,2.6
13082,2016,32.9,2.8
13082,2017,31.2,2.6
13082,2018,30.9,2.5
13082,2019,30.1,2.4
13082,2020,30.5,2.4
13082,2021,30.0,2.5
13082,2022,29.6,2.4
13082,2023,29.7,2.5
13087,2015,33.7,2.9
13087,2016,33.5,3.0
13087,2017,32.6,2.7
13087,2018,32.1,2.6
