cod_ine,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
33024,2023,500.0,observado,EUR/mes,external_validation
33031,2023,350.0,observado,EUR/mes,external_validation
33037,2023,350.0,observado,EUR/mes,external_validation
33044,2023,470.0,observado,EUR/mes,external_validation
33066,2023,402.1,observado,EUR/mes,external_validation
34120,2023,431.3,observado,EUR/mes,external_validation
35002,2023,490.0,observado,EUR/mes,external_validation
35004,2023,500.0,observado,EUR/mes,external_validation
35006,2023,490.0,observado,EUR/mes,external_validation
35011,2023,445.1,observado,EUR/mes,external_validation
35014,2023,500.0,observado,EUR/mes,external_validation
35016,2023,556.4,observado,EUR/mes,external_validation
35017,2023,450.0,observado,EUR/mes,external_validation
35019,2023,600.0,observado,EUR/mes,external_validation
35022,2023,460.5,observado,EUR/mes,external_validation
35026,2023,500.0,observado,EUR/mes,external_validation
36008,2023,400.0,observado,EUR/mes,external_validation
36026,2023,390.0,observado,EUR/mes,external_validation
36038,2023,500.0,observado,EUR/mes,external_validation
36045,2023,400.0,observado,EUR/mes,external_validation
36057,2023,510.3,observado,EUR/mes,external_validation
36060,2023,400.2,observado,EUR/mes,external_validation
37274,2023,500.0,observado,EUR/mes,external_validation
38001,2023,600.0,observado,EUR/mes,external_validation
38006,2023,542.1,observado,EUR/mes,external_validation
38011,2023,570.0,observado,EUR/mes,external_validation
38017,2023,506.9,observado,EUR/mes,external_validation
38023,2023,500.0,observado,EUR/mes,external_validation
38026,2023,470.0,observado,EUR/mes,external_validation
38028,2023,550.0,observado,EUR/mes,external_validation
38031,2023,460.0,observado,EUR/mes,external_validation
38038,2023,551.0,observado,EUR/mes,external_validation
39016,2023,500.0,observado,EUR/mes,external_validation
39020,2023,591.8,observado,EUR/mes,external_validation
