cod_ine,nombre,anio,ipr4_nacional_observado,ipr5_prospectivo,cuartil_ipr,anio_externo,alquiler_mediano_mensual,estado,unidad,uso
29025,Benalmádena,2023,88.88138862102218,82.8505048311801,Q4,2023,650.0,observado,EUR/mes,external_validation
29051,Estepona,2023,84.08871745419479,80.71382043209206,Q4,2023,617.7,observado,EUR/mes,external_validation
29054,Fuengirola,2023,73.17261330761814,68.50466833134296,Q4,2023,639.3,observado,EUR/mes,external_validation
29067,Málaga,2023,90.35679845708776,90.16420584084248,Q4,2023,665.9,observado,EUR/mes,external_validation
29069,Marbella,2023,83.91513982642239,79.12588209749212,Q4,2023,750.0,observado,EUR/mes,external_validation
29070,Mijas,2023,83.24011571841852,81.33356855933123,Q4,2023,597.3,observado,EUR/mes,external_validation
29082,Rincón de la Victoria,2023,87.46383799421409,88.94691130170447,Q4,2023,650.0,observado,EUR/mes,external_validation
29084,Ronda,2023,45.42912246865959,47.15780045597655,Q2,2023,400.0,observado,EUR/mes,external_validation
29094,Vélez Málaga,2023,85.74734811957569,80.4845836499837,Q4,2023,500.0,observado,EUR/mes,external_validation
29901,Torremolinos,2023,90.00964320154291,88.23005102594722,Q4,2023,604.3,observado,EUR/mes,external_validation
30003,Águilas,2023,58.47637415621987,62.46981869503855,Q3,2023,400.0,observado,EUR/mes,external_validation
30005,Alcantarilla,2023,17.396335583413695,28.545163391597,Q1,2023,400.0,observado,EUR/mes,external_validation
30015,Caravaca de la Cruz,2023,22.69045323047252,32.34979915318641,Q1,2023,350.0,observado,EUR/mes,external_validation
30016,Cartagena,2023,56.586306653809075,62.55200303984367,Q3,2023,470.0,observado,EUR/mes,external_validation
30019,Cieza,2023,16.268081002892963,28.132504614048425,Q1,2023,325.0,observado,EUR/mes,external_validation
30022,Jumilla,2023,25.188042430086792,31.49261752252741,Q1,2023,350.0,observado,EUR/mes,external_validation
30024,Lorca,2023,23.972999035679848,33.787645206817935,Q1,2023,425.0,observado,EUR/mes,external_validation
30026,Mazarrón,2023,58.98746383799421,64.14596677885137,Q3,2023,350.0,observado,EUR/mes,external_validation
30027,Molina de Segura,2023,29.701060752169724,37.16643144066877,Q1,2023,468.8,observado,EUR/mes,external_validation
30030,Murcia,2023,46.837029893924786,54.81147540983606,Q2,2023,500.0,observado,EUR/mes,external_validation
30035,San Javier,2023,68.87174541947928,68.87210943437195,Q4,2023,400.0,observado,EUR/mes,external_validation
30037,Torre-Pacheco,2023,52.97974927675989,56.90364781239821,Q3,2023,400.0,observado,EUR/mes,external_validation
30039,Totana,2023,10.241080038572807,19.085712734773637,Q1,2023,375.0,observado,EUR/mes,external_validation
30043,Yecla,2023,17.492767598842818,28.527792856367387,Q1,2023,320.0,observado,EUR/mes,external_validation
31201,Pamplona/Iruña,2023,65.72806171648988,58.30262729345347,Q4,2023,650.0,observado,EUR/mes,external_validation
31232,Tudela,2023,37.0106075216972,37.121268049071766,Q2,2023,500.0,observado,EUR/mes,external_validation
32054,Ourense,2023,39.90356798457088,36.64982086635545,Q2,2023,400.0,observado,EUR/mes,external_validation
33004,Avilés,2023,35.10125361620058,30.28308544132016,Q1,2023,425.0,observado,EUR/mes,external_validation
33024,Gijón,2023,60.81967213114755,52.83910541743568,Q3,2023,500.0,observado,EUR/mes,external_validation
33031,Langreo,2023,13.519768563162971,11.889154272066008,Q1,2023,350.0,observado,EUR/mes,external_validation
33037,Mieres,2023,18.727097396335584,16.51405927695147,Q1,2023,350.0,observado,EUR/mes,external_validation
33044,Oviedo,2023,58.37994214079074,50.914341548148954,Q3,2023,470.0,observado,EUR/mes,external_validation
33066,Siero,2023,47.637415621986506,41.137498642926936,Q2,2023,402.1,observado,EUR/mes,external_validation
34120,Palencia,2023,20.20250723240116,20.79795896211052,Q1,2023,431.3,observado,EUR/mes,external_validation
35002,Agüimes,2023,49.31533269045323,50.610085767017694,Q2,2023,490.0,observado,EUR/mes,external_validation
35004,Arrecife,2023,51.02217936354871,49.974812723917054,Q3,2023,500.0,observado,EUR/mes,external_validation
35006,Arucas,2023,45.30376084860174,42.779719900119424,Q2,2023,490.0,observado,EUR/mes,external_validation
35011,Ingenio,2023,36.528447444551595,41.08229291065031,Q1,2023,445.1,observado,EUR/mes,external_validation
35014,"Oliva, La",2023,70.74252651880424,66.14108131581804,Q4,2023,500.0,observado,EUR/mes,external_validation
35016,Palmas de Gran Canaria (Las),2023,60.3085824493732,55.58348713494734,Q3,2023,556.4,observado,EUR/mes,external_validation
35017,Puerto del Rosario,2023,52.88331726133076,52.947508413853,Q3,2023,450.0,observado,EUR/mes,external_validation
35019,San Bartolomé de Tirajana,2023,71.08968177434909,67.47920964064704,Q4,2023,600.0,observado,EUR/mes,external_validation
35022,Santa Lucía de Tirajana,2023,41.735776277724206,42.92574096189338,Q2,2023,460.5,observado,EUR/mes,external_validation
35026,Telde,2023,54.4069431051109,54.19292150689394,Q3,2023,500.0,observado,EUR/mes,external_validation
36008,Cangas,2023,49.29604628736741,43.838725436977526,Q2,2023,400.0,observado,EUR/mes,external_validation
36026,Marín,2023,47.434908389585345,43.29980458147867,Q2,2023,390.0,observado,EUR/mes,external_validation
36038,Pontevedra,2023,59.67213114754098,55.58886114428401,Q3,2023,500.0,observado,EUR/mes,external_validation
36045,Redondela,2023,49.7589199614272,46.11958527847139,Q2,2023,400.0,observado,EUR/mes,external_validation
36057,Vigo,2023,63.43297974927676,57.4941917272826,Q3,2023,510.3,observado,EUR/mes,external_validation
36060,Vilagarcía de Arousa,2023,58.80424300867888,52.86440125936381,Q3,2023,400.2,observado,EUR/mes,external_validation
37274,Salamanca,2023,53.095467695274834,48.30995548800348,Q3,2023,500.0,observado,EUR/mes,external_validation
38001,Adeje,2023,84.74445515911282,76.55265443491479,Q4,2023,600.0,observado,EUR/mes,external_validation
38006,Arona,2023,71.16682738669238,67.84279665617198,Q4,2023,542.1,observado,EUR/mes,external_validation
38011,Candelaria,2023,70.44358727097398,66.97969818695039,Q4,2023,570.0,observado,EUR/mes,external_validation
38017,Granadilla de Abona,2023,67.03953712632594,62.79486483552274,Q4,2023,506.9,observado,EUR/mes,external_validation
38023,San Cristóbal Laguna,2023,63.48119575699133,62.70073824774726,Q4,2023,500.0,observado,EUR/mes,external_validation
38026,Orotava (La),2023,40.867888138862114,39.50591683856259,Q2,2023,470.0,observado,EUR/mes,external_validation
38028,Puerto de la Cruz,2023,93.98264223722276,85.7958419281294,Q4,2023,550.0,observado,EUR/mes,external_validation
38031,Realejos (Los),2023,53.68370298939248,50.34969058734123,Q3,2023,460.0,observado,EUR/mes,external_validation
38038,Santa Cruz deTenerife,2023,47.75313404050145,53.20605797416133,Q2,2023,551.0,observado,EUR/mes,external_validation
39016,Camargo,2023,27.830279652844744,23.755075453262403,Q1,2023,500.0,observado,EUR/mes,external_validation
