cod_ine,anio,ipr,dqs,dqs_level,local_moran_i,p_value,p_value_fdr,quadrant,cluster_type,cluster_type_raw,is_significant,is_significant_raw,eligible,exclusion_reason,neighbor_count,neighbors,standardized_ipr,spatial_lag,spatial_lag_ipr,calculation_version,calculated_at
43155,2023,18.881388621022182,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
43163,2023,68.35101253616202,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
43905,2023,62.169720347155256,,,0.3334632755753235,0.45,0.874601226993865,HH,NS,NS,False,False,True,,1,['43038'],0.5026192523586207,0.666480516538394,65.26518804243008,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
44216,2023,27.88813886210222,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
45081,2023,32.70973963355834,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
45165,2023,36.61523625843781,,,,,,,NS,NS,False,False,False,sin_vecinos_queen,0,[],,,,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
45168,2023,57.01060752169721,,,-0.03445018796852757,0.884,0.9533333333333333,HL,NS,NS,False,False,True,,1,['28013'],0.22951714539233184,-0.15078391944857575,49.82642237222758,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46005,2023,39.09353905496625,,,0.22542582691999355,0.618,0.874601226993865,LL,NS,NS,False,False,True,,3,"['46021', '46110', '46244']",-0.7189383961840523,-0.3149854977803321,46.724525875924144,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46017,2023,25.593056894889106,,,2.3416262984900755,0.172,0.7568,LL,NS,NS,False,False,True,,1,['46029'],-1.4335981153481736,-1.6408494339057687,21.677917068466737,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46021,2023,41.63934426229509,,,0.1497250074650115,0.596,0.874601226993865,LL,NS,NS,False,False,True,,4,"['46005', '46102', '46110', '46244']",-0.5841739919988177,-0.2574724060952195,47.81099324975892,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
46029,2023,21.677917068466737,,,2.341626298490076,0.234,0.7946268656716418,LL,NS,NS,False,False,True,,1,['46017'],-1.6408494339057687,-1.4335981153481736,25.593056894889106,spatial-ipr-1.0.0,2026-09-15T13:36:55.039733+00:00
